x,original_y,salted_y,smoothed_y
70.000000,70.000000,71.058171,74.738343
65.000000,65.000000,68.072602,76.964588
96.000000,96.000000,93.794718,83.283403
89.000000,89.000000,86.522496,82.626094
80.000000,80.000000,82.939448,81.837031
69.000000,69.000000,71.030974,77.247668
78.000000,78.000000,75.128177,77.591696
80.000000,80.000000,80.142087,77.709668
83.000000,83.000000,84.390564,80.597349
73.000000,73.000000,72.206507,80.414094
86.000000,86.000000,87.639982,82.645075
86.000000,86.000000,87.997296,82.049365
74.000000,74.000000,74.113465,79.228680
81.000000,81.000000,78.801271,78.244962
73.000000,73.000000,73.538719,74.173232
78.000000,78.000000,78.901835,75.561461
67.000000,67.000000,63.337096,73.143481
80.000000,80.000000,82.423396,78.583193
79.000000,79.000000,79.251305,78.677281
89.000000,89.000000,87.446813,80.594528
75.000000,75.000000,75.554200,75.889395
66.000000,66.000000,68.654039,71.794850
68.000000,68.000000,67.609458,68.056656
66.000000,66.000000,65.302383,69.532598
65.000000,65.000000,64.692883,72.610261
91.000000,91.000000,91.101985,78.899827
85.000000,85.000000,84.154054,79.510355
71.000000,71.000000,71.231501,77.999721
73.000000,73.000000,77.163990,76.967776
77.000000,77.000000,76.216848,77.270349
79.000000,79.000000,78.002016,80.462743
84.000000,84.000000,85.344526,83.844560
88.000000,88.000000,89.628742,86.713186
88.000000,88.000000,87.451378,87.178999
86.000000,86.000000,88.306662,84.182992
83.000000,83.000000,83.440013,81.554227
67.000000,67.000000,64.057572,77.180734
85.000000,85.000000,85.006066,79.710027
81.000000,81.000000,82.910511,79.753052
80.000000,80.000000,78.313427,80.587200
83.000000,83.000000,81.671096,81.134364
74.000000,74.000000,77.783713,80.308537
88.000000,88.000000,86.222004,83.512564
80.000000,80.000000,79.382833,83.496036
90.000000,90.000000,91.256343,86.056609
86.000000,86.000000,86.295487,83.603730
84.000000,84.000000,80.365620,80.438878
76.000000,76.000000,74.508622,76.205621
66.000000,66.000000,69.921057,73.283871
75.000000,75.000000,73.621820,72.813503
