x,original_y,salted_y,smoothed_y
0.000000,3.800000,45.825847,54.187220
1.000000,5.158000,131.319586,39.709773
2.000000,5.000000,-27.077463,0.447998
3.000000,4.600000,-128.778667,-6.665554
4.000000,4.000000,28.081727,12.607477
5.000000,3.280000,169.755476,30.719986
6.000000,3.228000,-11.277750,4.772393
7.000000,3.516000,-129.537845,-9.997004
8.000000,3.590000,-16.073053,8.802091
9.000000,3.478000,146.907572,38.090441
10.000000,3.588000,97.186617,46.555038
11.000000,3.988000,-98.356306,16.723484
12.000000,4.140000,30.946104,15.497435
13.000000,4.274000,73.260571,4.294642
14.000000,4.370000,-32.701312,-16.940717
15.000000,4.132000,-67.586985,-14.041092
16.000000,4.100000,-75.144715,-20.275987
17.000000,4.238000,152.677638,19.409844
18.000000,4.300000,-27.484460,-2.123230
19.000000,4.182000,-66.901961,8.253317
20.000000,4.110000,18.697839,17.023196
21.000000,4.154000,103.384088,37.561952
22.000000,4.040000,53.665857,18.654965
23.000000,4.100000,-34.151869,-2.424989
24.000000,4.200000,-120.169501,-18.003205
25.000000,4.390000,61.704897,2.564406
26.000000,4.308000,103.770156,22.691744
27.000000,4.020000,-93.300851,18.203526
28.000000,3.980000,47.862619,43.397866
29.000000,3.930000,123.925029,34.860914
30.000000,3.738000,46.646278,30.456180
31.000000,3.560000,-113.864464,8.921553
32.000000,3.636000,37.442059,35.706460
33.000000,3.690000,140.092431,44.840771
34.000000,3.792000,81.016248,32.576798
35.000000,3.918000,-95.638323,-6.781407
36.000000,3.708000,-76.740724,-15.707839
37.000000,3.730000,65.127302,-2.974383
38.000000,3.818000,53.160662,-0.432957
39.000000,3.850000,-72.644723,-1.490164
40.000000,3.832000,-61.627506,-4.181065
41.000000,3.978000,133.776478,28.321006
42.000000,3.950000,1.681636,7.197287
43.000000,3.940000,-1.564683,9.196136
44.000000,3.932000,-67.939279,-17.917757
45.000000,3.924000,28.292463,-15.287963
46.000000,4.074000,14.748969,-19.581218
47.000000,4.174000,-117.598090,-27.969282
48.000000,4.122000,2.632549,0.985593
49.000000,4.132000,61.768719,14.510191
50.000000,4.200000,60.743382,24.339808
51.000000,4.150000,-28.922645,6.249703
52.000000,4.178000,-32.077341,8.119725
53.000000,4.108000,25.040307,6.635958
54.000000,4.196000,92.523388,20.669070
55.000000,4.430000,-71.786220,7.872273
56.000000,4.204000,-4.074139,31.977633
57.000000,4.134000,110.284014,40.229818
58.000000,4.178000,104.331787,40.494575
59.000000,4.174000,-65.949267,18.902836
60.000000,3.978000,-39.936918,13.828132
61.000000,3.990000,123.545915,37.428553
62.000000,4.080000,29.858648,24.226374
63.000000,4.208000,20.083043,24.186411
64.000000,4.238000,-55.478783,0.907733
65.000000,4.400000,35.922192,12.238623
66.000000,4.138000,52.922675,6.554616
67.000000,4.086000,-23.845999,-9.007159
68.000000,4.230000,-56.749693,-11.785008
69.000000,4.212000,-32.530166,-24.131998
70.000000,4.114000,90.687472,-23.431178
71.000000,4.086000,-112.425100,-56.393229
72.000000,4.088000,-169.607688,-49.264894
73.000000,4.040000,27.174148,-18.936744
74.000000,4.128000,121.776490,19.401936
75.000000,4.200000,-38.036173,11.346706
76.000000,4.178000,-4.354388,24.705752
77.000000,4.104000,2.621117,22.156155
78.000000,4.040000,121.565435,49.460223
79.000000,4.032000,37.338220,38.398407
80.000000,4.122000,-14.212387,49.127755
81.000000,4.136000,35.826779,37.650941
82.000000,4.188000,183.678617,51.890064
83.000000,4.160000,-84.159150,-3.447139
84.000000,4.250000,-36.878688,13.383399
85.000000,4.278000,-29.586227,-1.049052
86.000000,4.228000,170.135018,34.569783
87.000000,4.388000,-22.651140,-3.220473
88.000000,4.336000,-100.663967,-14.563632
89.000000,4.256000,-26.217724,-19.962879
90.000000,4.520000,62.713647,-17.536756
91.000000,4.974000,-2.845578,-16.622916
92.000000,4.900000,-161.861130,-38.696133
93.000000,5.000000,44.273896,2.664711
94.000000,4.896000,36.134960,-8.016383
95.000000,5.720000,71.356227,0.072340
96.000000,5.650000,-152.571435,-51.739492
97.000000,6.044000,-81.592682,-42.151733
98.000000,6.200000,10.113478,-42.850958
99.000000,6.040000,30.639800,-10.649035
100.000000,6.134000,-124.798012,-2.602155
101.000000,6.032000,73.503408,39.534595
102.000000,6.314000,171.061552,36.301818
103.000000,6.658000,-0.130432,14.941418
104.000000,7.054000,-171.959223,-19.758524
105.000000,7.120000,39.122815,14.237863
106.000000,7.082000,99.436384,29.417991
107.000000,6.748000,96.924951,48.567624
108.000000,7.174000,-64.802544,22.876662
109.000000,6.802000,10.211314,19.673501
110.000000,6.402000,103.101532,17.118467
111.000000,6.270000,-30.301433,3.242905
112.000000,6.098000,-62.633710,8.266166
113.000000,6.496000,42.086235,24.029565
114.000000,6.502000,113.621290,45.348442
115.000000,6.410000,25.055471,38.532338
116.000000,6.328000,-1.475103,29.422707
117.000000,6.058000,24.458032,38.263082
118.000000,5.734000,42.270109,32.387308
119.000000,6.000000,137.434374,40.927192
120.000000,6.268000,-91.857041,-3.116914
121.000000,6.328000,-28.947756,14.080941
122.000000,6.360000,39.182243,12.738225
123.000000,6.450000,117.450711,35.432911
124.000000,6.252000,-40.019608,17.205122
125.000000,5.604000,-27.566511,17.267851
126.000000,5.170000,76.751373,21.493627
127.000000,5.406000,36.660912,21.223580
128.000000,5.540000,-22.271837,17.011066
129.000000,5.314000,11.578683,28.843072
130.000000,5.368000,45.446364,33.914096
131.000000,5.332000,114.797696,40.608691
132.000000,5.296000,-20.451499,25.420205
133.000000,5.366000,-57.240612,19.407935
134.000000,5.600000,121.703025,41.867452
135.000000,5.634000,49.232995,30.669861
136.000000,5.718000,9.821006,24.460258
137.000000,5.402000,-26.894928,16.769975
138.000000,5.392000,3.111727,19.941268
139.000000,5.230000,131.467748,41.447365
140.000000,5.096000,-11.263082,33.862838
141.000000,5.054000,-13.352728,51.902736
142.000000,4.806000,119.932628,71.914313
143.000000,4.624000,144.126722,61.646345
144.000000,4.706000,41.471009,42.332382
145.000000,4.930000,-140.232546,1.462448
146.000000,4.942000,76.115309,10.352721
147.000000,4.948000,91.299111,-0.083292
148.000000,4.976000,-106.503786,-16.993539
149.000000,4.810000,-68.903139,-14.405493
150.000000,4.862000,58.435915,5.110510
151.000000,4.832000,54.835756,8.848338
152.000000,4.764000,3.762888,-5.012560
153.000000,4.688000,-99.163584,-34.641832
154.000000,4.652000,-46.142088,-45.583548
155.000000,4.756000,15.912794,-53.802491
156.000000,4.826000,-104.089293,-52.370537
157.000000,4.652000,-141.446079,-38.336133
158.000000,4.650000,110.824140,20.238026
159.000000,4.728000,76.644972,21.105867
160.000000,4.602000,39.086653,24.917993
161.000000,4.620000,-113.518981,-19.720093
162.000000,4.926000,17.332623,-6.990989
163.000000,4.666000,10.887183,-27.866970
164.000000,4.576000,0.115346,-19.453831
165.000000,4.436000,-146.922208,-34.070213
166.000000,4.356000,21.381893,-0.350044
167.000000,4.562000,108.418810,15.963622
168.000000,4.748000,-9.183558,17.511482
169.000000,4.810000,-47.215812,26.560836
170.000000,4.764000,51.264025,44.607476
171.000000,4.896000,161.251654,53.820941
172.000000,4.896000,46.700277,28.949088
173.000000,4.986000,-125.706224,-4.980827
174.000000,4.920000,-11.709961,-8.309420
175.000000,4.932000,98.071901,9.938509
176.000000,4.888000,-39.155483,4.431626
177.000000,4.770000,0.191311,13.250716
178.000000,4.764000,19.027225,5.973761
179.000000,4.440000,27.066710,1.917142
180.000000,4.572000,-5.241451,-6.923873
181.000000,4.648000,-78.528383,-5.111521
182.000000,4.638000,13.300157,19.286937
183.000000,4.610000,138.693834,44.638591
184.000000,4.546000,31.032678,41.714560
185.000000,4.422000,-28.595650,35.011946
186.000000,4.428000,63.324981,41.694070
187.000000,4.486000,72.333801,39.603269
188.000000,4.540000,46.756217,22.770576
189.000000,4.660000,-23.332619,16.772175
190.000000,4.822000,-88.011410,7.345185
191.000000,5.310000,171.792919,43.602991
192.000000,5.490000,47.990200,13.592012
193.000000,5.366000,-68.088568,16.930255
194.000000,5.180000,-82.112583,4.400802
195.000000,5.398000,186.206488,49.325825
196.000000,5.370000,49.706312,32.503721
197.000000,5.516000,-30.469335,20.552536
198.000000,5.294000,-22.370023,0.413872
199.000000,5.016000,12.936366,-15.327422
200.000000,5.026000,38.178246,-16.419386
201.000000,4.974000,-140.154062,-32.057112
202.000000,5.130000,-32.295588,0.154192
203.000000,5.026000,123.911727,20.206396
204.000000,5.052000,73.162299,22.468964
205.000000,5.140000,-103.491024,5.037280
206.000000,5.170000,-28.225612,12.816411
207.000000,5.340000,135.731078,22.991380
208.000000,5.332000,55.726858,16.553862
209.000000,5.386000,-133.716468,-9.093140
210.000000,5.414000,-3.762129,5.185192
211.000000,5.538000,92.006449,10.647693
212.000000,5.520000,49.399338,-1.759756
213.000000,5.476000,-100.214152,-21.612232
214.000000,5.356000,-133.255912,-22.724729
215.000000,5.440000,134.449750,16.013346
216.000000,5.380000,99.689051,20.743330
217.000000,5.400000,-102.924916,5.147535
218.000000,5.648000,-27.583095,9.929025
219.000000,5.640000,87.790614,18.629024
220.000000,5.414000,69.931043,14.129758
221.000000,5.600000,-55.718635,-13.398846
222.000000,5.598000,-101.818532,-22.157684
223.000000,5.400000,7.949730,-13.862698
224.000000,5.220000,108.142668,3.857144
225.000000,5.406000,-77.586075,-17.564149
226.000000,5.652000,-71.085669,-11.630155
227.000000,5.524000,23.532631,-10.754539
228.000000,5.404000,72.665922,2.153151
229.000000,5.380000,-68.803288,-18.214147
230.000000,5.764000,-50.410106,-16.542009
231.000000,5.908000,-0.907051,-18.228486
232.000000,5.938000,36.257964,-17.586752
233.000000,6.000000,-45.104625,-20.533847
234.000000,5.704000,-117.300603,-24.398158
235.000000,5.990000,80.956201,10.533825
236.000000,6.020000,54.601952,14.406346
237.000000,5.788000,-13.231951,31.835929
238.000000,5.688000,-16.273567,36.312278
239.000000,5.486000,140.104317,69.102084
240.000000,5.504000,88.522204,48.057075
241.000000,5.614000,46.405019,39.760046
242.000000,5.708000,-120.231433,12.226923
243.000000,5.688000,71.397756,39.974966
244.000000,5.534000,171.956057,52.731336
245.000000,5.374000,-14.238990,25.277763
246.000000,5.258000,-34.964851,19.575074
247.000000,5.248000,-29.511863,-8.050709
248.000000,5.474000,128.166076,10.445511
249.000000,5.440000,-90.748401,-34.137405
250.000000,5.528000,-75.361101,-17.285268
251.000000,5.546000,-47.475618,-16.762663
252.000000,5.558000,135.912555,30.948890
253.000000,5.700000,14.176685,22.767473
254.000000,5.700000,-21.123396,26.077505
255.000000,5.814000,23.007312,24.494747
256.000000,5.804000,65.459687,29.275995
257.000000,5.828000,45.159399,23.273022
258.000000,5.828000,-32.199608,15.580424
259.000000,5.978000,-18.346461,9.355244
260.000000,5.680000,102.161565,26.206311
261.000000,5.674000,-19.917464,21.531577
262.000000,5.686000,-0.586477,48.605012
263.000000,5.706000,95.714377,69.249181
264.000000,5.558000,158.402240,84.103065
265.000000,5.468000,60.005966,57.638996
266.000000,5.516000,-17.426225,44.067426
267.000000,5.600000,-21.594442,25.958355
268.000000,5.782000,164.925188,43.954303
269.000000,5.740000,-7.141530,22.940660
270.000000,5.802000,-67.846446,35.320826
271.000000,5.662000,80.586457,54.655271
272.000000,5.700000,183.906976,60.018769
273.000000,5.520000,36.465988,28.493095
274.000000,5.560000,-146.695108,-23.867701
275.000000,5.734000,-18.699065,-25.711869
276.000000,5.738000,15.647922,-39.499516
277.000000,5.500000,0.423440,-41.145630
278.000000,5.302000,-164.999723,-51.125320
279.000000,4.998000,-86.685606,-34.505534
280.000000,4.620000,171.758292,10.139015
281.000000,4.830000,-29.095384,-5.468175
282.000000,5.088000,-72.796061,-8.211559
283.000000,4.808000,-8.020941,-14.799098
284.000000,5.120000,16.272449,-11.723859
285.000000,5.324000,17.316786,-18.032888
286.000000,5.226000,-71.369740,-23.801649
287.000000,5.278000,-98.971934,-11.076086
288.000000,5.000000,112.101513,12.229828
289.000000,4.772000,115.881612,7.052752
290.000000,4.622000,-166.946313,-17.536467
291.000000,4.386000,-91.298052,-3.540801
292.000000,4.620000,180.661443,22.141707
293.000000,4.774000,88.820343,14.780826
294.000000,4.542000,-158.912043,-16.008855
295.000000,4.844000,-70.958054,-10.515714
296.000000,4.900000,110.569768,1.370401
297.000000,4.960000,92.213704,17.000118
298.000000,4.932000,-161.800917,-17.018036
299.000000,4.732000,14.436490,15.573183
300.000000,4.500000,61.204977,15.791570
301.000000,4.678000,119.872960,45.744658
302.000000,4.716000,-69.404894,28.866313
303.000000,4.674000,9.013355,46.943707
304.000000,4.500000,169.072933,45.956199
305.000000,4.602000,69.881842,13.195989
306.000000,4.850000,-157.611299,-42.774110
307.000000,4.916000,-117.400058,-47.721655
308.000000,4.956000,7.914215,-25.513312
309.000000,4.990000,98.353279,19.329268
310.000000,5.196000,-27.946988,19.470079
311.000000,5.190000,19.296867,44.185660
312.000000,5.128000,54.377867,48.376480
313.000000,5.098000,141.654397,51.198865
314.000000,5.304000,21.638443,25.435829
315.000000,5.200000,-128.519031,-12.385266
316.000000,5.200000,57.811390,1.368130
