x,original_y,salted_y,smoothed_y
0.000000,0.088542,11.848969,13.575544
1.000000,0.097222,35.396845,9.404628
2.000000,0.100694,-11.161095,-1.298654
3.000000,0.102431,-37.175426,-2.600162
4.000000,0.099826,11.404369,2.942429
5.000000,0.098090,46.555102,7.264512
6.000000,0.095486,-10.799546,-0.186305
7.000000,0.092882,-36.888027,-3.237757
8.000000,0.090278,3.678743,2.443714
9.000000,0.092014,39.812614,9.305180
10.000000,0.094618,14.960978,10.998615
11.000000,0.096354,-27.923499,4.137288
12.000000,0.095486,21.133172,4.581966
13.000000,0.094618,18.537313,-0.356576
14.000000,0.096354,-25.994397,-7.335873
15.000000,0.096354,-18.830703,-4.511956
16.000000,0.096354,-4.216599,-5.042056
17.000000,0.094618,40.174032,3.829491
18.000000,0.095486,-28.768446,-3.589078
19.000000,0.097222,-17.982727,1.781943
20.000000,0.098958,26.213516,5.811347
21.000000,0.099826,25.669754,8.879054
22.000000,0.100694,-10.059031,1.870071
23.000000,0.100694,-7.986474,-1.128797
24.000000,0.104167,-8.690281,-3.621488
25.000000,0.105035,13.077395,-1.013583
26.000000,0.101563,0.020947,2.598871
27.000000,0.101563,-23.587861,4.728418
28.000000,0.099826,42.137808,13.982219
29.000000,0.100260,29.629907,8.058776
30.000000,0.111111,-19.418617,4.556548
31.000000,0.117188,-28.163614,2.341531
32.000000,0.118056,42.825793,12.270477
33.000000,0.114583,33.154243,10.823021
34.000000,0.111979,-13.163373,4.828187
35.000000,0.110243,-22.046532,-2.006328
36.000000,0.110243,14.045620,-1.843128
37.000000,0.110243,10.999124,-2.668888
38.000000,0.110243,-24.013147,-4.715529
39.000000,0.110243,-14.398848,-0.448609
40.000000,0.111111,21.125699,1.635186
41.000000,0.110243,28.918677,5.959039
42.000000,0.111111,-41.172702,-2.883519
43.000000,0.111979,6.712492,2.606494
44.000000,0.111111,21.876686,-1.981210
45.000000,0.111111,-1.844422,-6.354814
46.000000,0.111979,-39.917514,-10.642205
47.000000,0.110243,-24.553456,-7.747648
48.000000,0.109375,43.756001,3.470337
49.000000,0.107639,6.184517,1.842584
50.000000,0.107639,-29.085309,1.416535
51.000000,0.107639,1.542440,1.905678
52.000000,0.111111,35.837991,5.641064
53.000000,0.114583,-5.350738,-0.455491
54.000000,0.118056,-21.796201,0.220492
55.000000,0.121528,-9.257972,2.428734
56.000000,0.118056,45.093498,12.450590
57.000000,0.118056,17.258889,8.858107
58.000000,0.117188,-19.708535,5.665369
59.000000,0.118924,-6.338380,5.642077
60.000000,0.118924,36.142390,7.524349
61.000000,0.113715,19.818620,8.029453
62.000000,0.113715,-41.343774,1.035770
63.000000,0.113715,18.873782,7.171019
64.000000,0.109375,32.327001,3.922980
65.000000,0.109375,-5.931219,0.846612
66.000000,0.109375,-35.323214,-3.993158
67.000000,0.110243,7.674543,-2.050147
68.000000,0.109375,32.183670,0.415187
69.000000,0.108507,-26.045266,-9.370204
70.000000,0.108941,-24.756570,-12.378196
71.000000,0.110243,-16.161475,-15.230848
72.000000,0.109375,0.447745,-10.057948
73.000000,0.107639,-10.178368,-7.950581
74.000000,0.104167,-15.671810,-0.365396
75.000000,0.103299,5.435264,3.753796
76.000000,0.106771,46.072672,10.578594
77.000000,0.106771,-17.812477,3.505112
78.000000,0.107639,-14.915937,8.124097
79.000000,0.108507,27.245349,11.377432
80.000000,0.104167,42.347761,17.339512
81.000000,0.101563,-9.115738,7.805634
82.000000,0.097222,3.582335,8.868757
83.000000,0.094618,-6.311093,-0.360952
84.000000,0.094618,34.605672,7.177305
85.000000,0.095920,-27.866259,-3.072461
86.000000,0.098090,1.316959,4.125530
87.000000,0.100694,11.146782,-0.329488
88.000000,0.102431,15.028411,-0.820255
89.000000,0.103299,-27.112878,-8.395478
90.000000,0.103299,-26.937179,-10.365591
91.000000,0.106771,16.629989,-4.225582
92.000000,0.105903,-4.300237,-7.903070
93.000000,0.107639,-7.582057,-2.204470
94.000000,0.108507,-32.265635,-7.663897
95.000000,0.105903,37.066290,0.205426
96.000000,0.103299,-4.276533,-12.001144
97.000000,0.099826,-42.873042,-14.954682
98.000000,0.098958,-37.410795,-17.441555
99.000000,0.098090,25.228790,-3.023897
100.000000,0.098090,0.702895,1.383734
101.000000,0.097222,0.992438,7.905760
102.000000,0.096354,10.379854,4.864687
103.000000,0.095486,15.861242,3.899061
104.000000,0.098090,-15.664260,-3.897946
105.000000,0.099826,-8.229520,0.695740
106.000000,0.102431,-6.841411,3.043630
107.000000,0.103299,42.182343,13.131095
108.000000,0.105903,11.154520,7.746509
109.000000,0.106337,-15.282372,2.409802
110.000000,0.105035,-2.378046,0.050657
111.000000,0.105035,5.651912,0.488732
112.000000,0.104167,8.721396,3.521005
113.000000,0.104167,-5.095243,3.853413
114.000000,0.102431,3.960755,8.295317
115.000000,0.102431,19.797200,10.215503
116.000000,0.101563,22.265816,9.130556
117.000000,0.101563,-8.485428,8.069707
118.000000,0.101563,-12.220024,5.113602
119.000000,0.098958,49.815876,10.809471
120.000000,0.095486,-6.647712,-0.299142
121.000000,0.095486,-21.855785,1.414646
122.000000,0.101563,-9.576260,-0.138607
123.000000,0.105903,42.334868,9.034166
124.000000,0.105035,4.147212,5.083334
125.000000,0.106771,-19.374493,2.663306
126.000000,0.105035,5.031814,2.906223
127.000000,0.100694,18.024761,5.097136
128.000000,0.098090,5.523544,4.847168
129.000000,0.099826,-6.252152,6.205095
130.000000,0.099826,0.008487,6.770390
131.000000,0.102431,37.717847,10.322732
132.000000,0.103299,2.302613,6.854156
133.000000,0.103299,-23.229311,3.780819
134.000000,0.102431,25.086808,9.309291
135.000000,0.104167,16.902584,7.241197
136.000000,0.102865,6.865848,6.164850
137.000000,0.100694,-12.276972,3.270897
138.000000,0.100694,-4.273628,3.576101
139.000000,0.098090,37.465675,10.100774
140.000000,0.098090,-2.605668,8.567995
141.000000,0.097222,-5.759314,13.488191
142.000000,0.097222,32.281289,18.619292
143.000000,0.100694,38.473975,15.626188
144.000000,0.105903,8.610239,10.689118
145.000000,0.108073,-38.446877,-0.315871
146.000000,0.111111,23.599916,1.730583
147.000000,0.114583,20.781193,-1.949442
148.000000,0.119792,-36.403592,-6.282011
149.000000,0.115451,-15.558672,-4.479375
150.000000,0.116319,22.154388,0.623413
151.000000,0.121528,7.683117,0.315506
152.000000,0.121528,-8.883648,-3.207539
153.000000,0.125000,-21.009155,-9.813962
154.000000,0.126736,-3.726827,-13.194729
155.000000,0.131076,-6.185150,-17.467240
