Pokemon Count,Mulligan Probability (%)
1,88.6
2,78.69
3,67.93
4,59.589999999999996
5,53.239999999999995
6,46.19
7,39.489999999999995
8,34.69
9,29.470000000000002
10,26.19
11,22.14
12,19.93
13,16.900000000000002
14,13.309999999999999
15,11.89
16,9.98
17,8.62
18,6.93
19,5.79
20,5.2
21,4.08
22,3.39
23,2.64
24,2.25
25,1.9
26,1.38
27,1.06
28,0.9400000000000001
29,0.66
30,0.5
31,0.43
32,0.26
33,0.22
34,0.15
35,0.18
36,0.08
37,0.06999999999999999
38,0.01
39,0.03
40,0.03
41,0.0
42,0.01
43,0.0
44,0.02
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
