x, cos(x)
-42.0, -235.4
-41.9, 234.511
-41.8, -235.574
-41.7, 234.347
-41.6, 234.275
-41.5, -235.79
-41.4, -235.848
-41.3, 234.104
-41.2, -235.936
-41.1, 234.033
-41.0, 234.013
-40.9, 234.002
-40.8, 234.001
-40.7, -235.99
-40.6, 234.029
-40.5, 234.057
-40.4, 234.096
-40.3, 234.143
-40.2, 234.198
-40.1, -235.738
-40.0, -235.667
-39.9, -235.589
-39.8, -235.506
-39.7, 234.583
-39.6, -235.324
-39.5, 234.772
-39.4, -235.13
-39.3, 234.97
-39.2, -234.93
-39.1, -234.831
-39.0, 235.267
-38.9, -234.638
-38.8, 235.453
-38.7, 235.54
-38.6, -234.379
-38.5, 235.696
-38.4, 235.764
-38.3, 235.825
-38.2, -234.123
-38.1, 235.921
-38.0, 235.955
-37.9, -234.02
-37.8, -234.005
-37.7, -234.0
-37.6, -234.005
-37.5, -234.02
-37.4, -234.044
-37.3, -234.079
-37.2, 235.878
-37.1, 235.826
-37.0, -234.235
-36.9, 235.697
-36.8, -234.378
-36.7, 235.541
-36.6, -234.546
-36.5, -234.637
-36.4, -234.732
-36.3, -234.829
-36.2, -234.928
-36.1, 234.972
-36.0, -235.128
-35.9, 234.774
-35.8, -235.322
-35.7, 234.585
-35.6, -235.504
-35.5, -235.588
-35.4, 234.334
-35.3, -235.737
-35.2, -235.801
-35.1, -235.856
-35.0, -235.904
-34.9, 234.058
-34.8, -235.971
-34.7, 234.01
-34.6, -235.999
-34.5, 234.002
-34.4, -235.988
-34.3, 234.033
-34.2, -235.937
-34.1, -235.897
-34.0, -235.849
-33.9, 234.208
-33.8, -235.727
-33.7, -235.654
-33.6, -235.576
-33.5, 234.509
-33.4, 234.598
-33.3, 234.692
-33.2, 234.788
-33.1, 234.887
-33.0, -235.013
-32.9, -234.913
-32.8, 235.186
-32.7, 235.283
-32.6, -234.623
-32.5, 235.468
-32.4, 235.554
-32.3, -234.366
-32.2, 235.708
-32.1, 235.775
-32.0, -234.166
-31.9, 235.885
-31.8, 235.927
-31.7, 235.96
-31.6, -234.017
-31.5, 235.996
-31.4, 236.0
-31.3, 235.993
-31.2, -234.023
-31.1, 235.951
-31.0, -234.085
-30.9, -234.13
-30.8, 235.816
-30.7, -234.246
-30.6, -234.315
-30.5, 235.609
-30.4, -234.473
-30.3, 235.439
-30.2, 235.347
-30.1, -234.748
-30.0, 235.154
-29.9, -234.945
-29.8, -235.045
-29.7, -235.145
-29.6, -235.243
-29.5, 234.662
-29.4, -235.431
-29.3, 234.481
-29.2, -235.601
-29.1, 234.322
-29.0, -235.748
-28.9, 234.189
-28.8, -235.865
-28.7, -235.911
-28.6, -235.947
-28.5, 234.025
-28.4, -235.992
-28.3, -236.0
-28.2, 234.003
-28.1, -235.985
-28.0, -235.963
-27.9, 234.069
-27.8, -235.89
-27.7, -235.84
-27.6, 234.219
-27.5, -235.715
-27.4, -235.642
-27.3, -235.562
-27.2, -235.476
-27.1, -235.386
-27.0, -235.292
-26.9, -235.195
-26.8, 234.904
-26.7, -234.996
-26.6, 235.103
-26.5, -234.798
-26.4, -234.701
-26.3, -234.607
-26.2, -234.517
-26.1, 235.568
-26.0, -234.353
-25.9, 235.72
-25.8, -234.214
-25.7, 235.843
-25.6, 235.893
-25.5, 235.933
-25.4, -234.036
-25.3, 235.986
-25.2, -234.002
-25.1, -234.001
-25.0, 235.991
-24.9, 235.973
-24.8, -234.055
-24.7, -234.092
-24.6, 235.861
-24.5, -234.194
-24.4, -234.257
-24.3, 235.673
-24.2, -234.404
-24.1, 235.512
-24.0, 235.424
-23.9, 235.332
-23.8, -234.764
-23.7, 235.138
-23.6, 235.038
-23.5, 234.938
-23.4, 234.839
-23.3, -235.259
-23.2, -235.354
-23.1, -235.446
-23.0, -235.533
-22.9, 234.385
-22.8, -235.69
-22.7, -235.759
-22.6, 234.18
-22.5, 234.127
-22.4, 234.082
-22.3, -235.953
-22.2, -235.978
-22.1, -235.994
-22.0, -236.0
-21.9, 234.004
-21.8, -235.982
-21.7, -235.958
-21.6, 234.076
-21.5, -235.882
-21.4, -235.83
-21.3, -235.771
-21.2, -235.703
-21.1, -235.629
-21.0, 234.452
-20.9, 234.539
-20.8, 234.629
-20.7, 234.724
-20.6, -235.179
-20.5, -235.08
-20.4, -234.98
-20.3, 235.12
-20.2, 235.219
-20.1, 235.315
-20.0, -234.592
-19.9, 235.497
-19.8, -234.419
-19.7, -234.34
-19.6, -234.269
-19.5, 235.796
-19.4, -234.148
-19.3, 235.9
-19.2, -234.061
-19.1, -234.031
-19.0, -234.011
-18.9, 235.999
-18.8, -234.001
-18.7, -234.011
-18.6, -234.031
-18.5, 235.94
-18.4, 235.901
-18.3, -234.147
-18.2, -234.204
-18.1, 235.732
-18.0, 235.66
-17.9, -234.418
-17.8, 235.498
-17.7, 235.409
-17.6, 235.316
-17.5, -234.781
-17.4, -234.879
-17.3, -234.979
-17.2, 234.921
-17.1, 234.822
-17.0, 234.725
-16.9, -235.37
-16.8, -235.461
-16.7, 234.453
-16.6, -235.628
-16.5, -235.702
-16.4, 234.23
-16.3, 234.17
-16.2, 234.119
-16.1, 234.076
-16.0, 234.042
-15.9, 234.018
-15.8, 234.004
-15.7, -236.0
-15.6, -235.994
-15.5, 234.022
-15.4, -235.953
-15.3, 234.082
-15.2, -235.874
-15.1, 234.179
-15.0, -235.76
-14.9, 234.309
-14.8, -235.615
-14.7, 234.466
-14.6, -235.446
-14.5, -235.355
-14.4, 234.74
-14.3, -235.162
-14.2, -235.063
-14.1, -234.963
-14.0, -234.863
-13.9, 235.235
-13.8, -234.669
-13.7, -234.577
-13.6, 235.512
-13.5, 235.595
-13.4, 235.672
-13.3, -234.257
-13.2, -234.194
-13.1, 235.861
-13.0, 235.907
-12.9, -234.055
-12.8, -234.027
-12.7, -234.009
-12.6, -234.001
-12.5, -234.002
-12.4, 235.986
-12.3, -234.035
-12.2, -234.066
-12.1, 235.893
-12.0, 235.844
-11.9, -234.214
-11.8, 235.72
-11.7, 235.648
-11.6, 235.568
-11.5, -234.517
-11.4, -234.607
-11.3, 235.3
-11.2, -234.797
-11.1, 235.104
-11.0, -234.996
-10.9, -235.095
-10.8, -235.194
-10.7, 234.709
-10.6, 234.615
-10.5, 234.524
-10.4, 234.439
-10.3, 234.359
-10.2, 234.286
-10.1, 234.219
-10.0, 234.161
-9.9, -235.889
-9.8, -235.93
-9.7, -235.962
-9.6, -235.985
-9.5, -235.997
-9.4, -236.0
-9.3, 234.008
-9.2, -235.975
-9.1, 234.052
-9.0, 234.089
-8.9, -235.865
-8.8, -235.811
-8.7, -235.749
-8.6, -235.679
-8.5, 234.398
-8.4, -235.519
-8.3, -235.431
-8.2, 234.661
-8.1, -235.244
-8.0, -235.146
-7.9, -235.046
-7.8, -234.946
-7.7, 235.153
-7.6, -234.749
-7.5, -234.653
-7.4, -234.561
-7.3, -234.474
-7.2, 235.608
-7.1, 235.685
-7.0, -234.246
-6.9, -234.184
-6.8, -234.131
-6.7, 235.914
-6.6, 235.95
-6.5, -234.023
-6.4, 235.993
-6.3, -234.0
-6.2, -234.003
-6.1, -234.017
-6.0, 235.96
-5.9, 235.927
-5.8, 235.886
-5.7, 235.835
-5.6, 235.776
-5.5, 235.709
-5.4, -234.365
-5.3, -234.446
-5.2, 235.469
-5.1, 235.378
-5.0, -234.716
-4.9, -234.813
-4.8, 235.087
-4.7, -235.012
-4.6, 234.888
-4.5, -235.211
-4.4, 234.693
-4.3, 234.599
-4.2, -235.49
-4.1, -235.575
-4.0, -235.654
-3.9, 234.274
-3.8, 234.209
-3.7, 234.152
-3.6, -235.897
-3.5, -235.936
-3.4, 234.033
-3.3, 234.013
-3.2, 234.002
-3.1, -235.999
-3.0, -235.99
-2.9, -235.971
-2.8, 234.058
-2.7, -235.904
-2.6, -235.857
-2.5, -235.801
-2.4, 234.263
-2.3, -235.666
-2.2, -235.589
-2.1, -235.505
-2.0, -235.416
-1.9, -235.323
-1.8, 234.773
-1.7, 234.871
-1.6, 234.971
-1.5, 235.071
-1.4, 235.17
-1.3, -234.733
-1.2, -234.638
-1.1, -234.546
-1.0, -234.46
-0.9, -234.378
-0.8, 235.697
-0.7, -234.235
-0.6, 235.825
-0.5, -234.122
-0.4, 235.921
-0.3, -234.045
-0.2, -234.02
-0.1, -234.005
0.0, 236.0
0.1, 235.995
0.2, 235.98
0.3, 235.955
0.4, 235.921
0.5, 235.878
0.6, -234.175
0.7, -234.235
0.8, -234.303
0.9, -234.378
1.0, -234.46
1.1, -234.546
1.2, -234.638
1.3, -234.733
1.4, -234.83
1.5, 235.071
1.6, -235.029
1.7, -235.129
1.8, -235.227
1.9, -235.323
2.0, -235.416
2.1, -235.505
2.2, -235.589
2.3, -235.666
2.4, -235.737
2.5, 234.199
2.6, 234.143
2.7, 234.096
2.8, -235.942
2.9, -235.971
3.0, 234.01
3.1, 234.001
3.2, -235.998
3.3, 234.013
3.4, -235.967
3.5, -235.936
3.6, 234.103
3.7, 234.152
3.8, -235.791
3.9, 234.274
4.0, -235.654
4.1, -235.575
4.2, 234.51
4.3, 234.599
4.4, 234.693
4.5, 234.789
4.6, 234.888
4.7, 234.988
4.8, -234.913
4.9, -234.813
5.0, 235.284
5.1, 235.378
5.2, -234.531
5.3, 235.554
5.4, -234.365
5.5, -234.291
5.6, -234.224
5.7, -234.165
5.8, -234.114
5.9, 235.927
6.0, -234.04
6.1, -234.017
6.2, -234.003
6.3, 236.0
6.4, -234.007
6.5, 235.977
6.6, 235.95
6.7, -234.086
6.8, -234.131
6.9, 235.816
7.0, -234.246
7.1, -234.315
7.2, -234.392
7.3, -234.474
7.4, 235.439
7.5, -234.653
7.6, 235.251
7.7, 235.153
7.8, -234.946
7.9, 234.954
8.0, -235.146
8.1, 234.756
8.2, 234.661
8.3, -235.431
8.4, 234.481
8.5, 234.398
8.6, 234.321
8.7, 234.251
8.8, -235.811
8.9, -235.865
9.0, -235.911
9.1, 234.052
9.2, 234.025
9.3, -235.992
9.4, 234.0
9.5, 234.003
9.6, -235.985
9.7, 234.038
9.8, -235.93
9.9, 234.111
10.0, 234.161
10.1, -235.781
10.2, 234.286
10.3, -235.641
10.4, -235.561
10.5, 234.524
10.6, -235.385
10.7, -235.291
10.8, 234.806
10.9, -235.095
11.0, 235.004
11.1, 235.104
11.2, 235.203
11.3, 235.3
11.4, -234.607
11.5, -234.517
11.6, -234.432
11.7, 235.648
11.8, -234.28
11.9, -234.214
12.0, 235.844
12.1, 235.893
12.2, 235.934
12.3, -234.035
12.4, -234.014
12.5, 235.998
12.6, 235.999
12.7, 235.991
12.8, -234.027
12.9, -234.055
13.0, 235.907
13.1, 235.861
13.2, 235.806
13.3, 235.743
13.4, -234.328
13.5, -234.405
13.6, -234.488
13.7, -234.577
13.8, -234.669
13.9, -234.765
14.0, -234.863
14.1, -234.963
14.2, 234.937
14.3, 234.838
14.4, 234.74
14.5, 234.645
14.6, -235.446
14.7, -235.534
14.8, 234.385
14.9, 234.309
15.0, -235.76
15.1, -235.821
15.2, 234.126
15.3, 234.082
15.4, -235.953
15.5, -235.978
15.6, 234.006
15.7, 234.0
15.8, -235.996
15.9, 234.018
16.0, -235.958
16.1, 234.076
16.2, 234.119
16.3, -235.83
16.4, 234.23
16.5, -235.702
16.6, 234.372
16.7, -235.547
16.8, -235.461
16.9, -235.37
17.0, 234.725
17.1, 234.822
17.2, -235.079
17.3, 235.021
17.4, 235.121
17.5, -234.781
