x, cos(x)
-42.0, -0.529
-41.9, 46.432
-41.8, -0.605
-41.7, -34.211
-41.6, 32.861
-41.5, -34.346
-41.4, 32.741
-41.3, 32.693
-41.2, 32.654
-41.1, 99.767
-41.0, 99.747
-40.9, 99.736
-40.8, 166.878
-40.7, 166.887
-40.6, 166.905
-40.5, 166.933
-40.4, 99.828
-40.3, 99.874
-40.2, 32.786
-40.1, -34.295
-40.0, -34.225
-39.9, -101.292
-39.8, -101.21
-39.7, -101.123
-39.6, -33.889
-39.5, -33.795
-39.4, -33.699
-39.3, -33.601
-39.2, -33.503
-39.1, -33.406
-39.0, 33.833
-38.9, -33.217
-38.8, 34.015
-38.7, 101.243
-38.6, 101.323
-38.5, 101.397
-38.4, 101.463
-38.3, 101.523
-38.2, 101.574
-38.1, 34.474
-38.0, -32.635
-37.9, -99.754
-37.8, -99.739
-37.7, -166.877
-37.6, -234.025
-37.5, -166.896
-37.4, -99.778
-37.3, -99.811
-37.2, -32.711
-37.1, -32.762
-37.0, 34.321
-36.9, 34.255
-36.8, -32.962
-36.7, -100.184
-36.6, -100.269
-36.5, -167.501
-36.4, -100.451
-36.3, -167.69
-36.2, -100.644
-36.1, -100.742
-36.0, -33.697
-35.9, -33.793
-35.8, -33.887
-35.7, -33.978
-35.6, -34.065
-35.5, -101.29
-35.4, -101.367
-35.3, -168.579
-35.2, -101.499
-35.1, -101.554
-35.0, -101.6
-34.9, -101.638
-34.8, -34.523
-34.7, -34.542
-34.6, 32.592
-34.5, -34.55
-34.4, -34.539
-34.3, -101.662
-34.2, -34.49
-34.1, -101.594
-34.0, -101.546
-33.9, -168.633
-33.8, -101.427
-33.7, -34.213
-33.6, 33.007
-33.5, 33.09
-33.4, 100.321
-33.3, 100.412
-33.2, 100.507
-33.1, 100.604
-33.0, 100.701
-32.9, 33.656
-32.8, 33.754
-32.7, 33.849
-32.6, 33.941
-32.5, 101.173
-32.4, 101.257
-32.3, 34.193
-32.2, 101.408
-32.1, 101.474
-32.0, 101.532
-31.9, 101.582
-31.8, 101.623
-31.7, 101.655
-31.6, 168.821
-31.5, 101.691
-31.4, 101.694
-31.3, 34.545
-31.2, 34.529
-31.1, 34.503
-31.0, -32.675
-30.9, -99.862
-30.8, -32.771
-30.7, -99.975
-30.6, -32.9
-30.5, 34.168
-30.4, -33.055
-30.3, 34.002
-30.2, 33.912
-30.1, -33.324
-30.0, -33.42
-29.9, -100.661
-29.8, -100.759
-29.7, -100.856
-29.6, -100.952
-29.5, -101.046
-29.4, -33.994
-29.3, -34.08
-29.2, 32.982
-29.1, -34.236
-29.0, -34.305
-28.9, -101.509
-28.8, -34.419
-28.7, -101.607
-28.6, -101.643
-28.5, -101.67
-28.4, -101.687
-28.3, -101.694
-28.2, -34.549
-28.1, -101.68
-28.0, -101.658
-27.9, -34.484
-27.8, -101.586
-27.7, -101.537
-27.6, -101.48
-27.5, -168.558
-27.4, -168.486
-27.3, -168.408
-27.2, -235.467
-27.1, -168.236
-27.0, -168.143
-26.9, -100.905
-26.8, -100.809
-26.7, -100.711
-26.6, -100.613
-26.5, -100.516
-26.4, -100.421
-26.3, -100.329
-26.2, -100.241
-26.1, -100.158
-26.0, -32.937
-25.9, 34.277
-25.8, 101.484
-25.7, 34.398
-25.6, 101.589
-25.5, 34.486
-25.4, 34.517
-25.3, 34.538
-25.2, 34.549
-25.1, -32.592
-25.0, -32.6
-24.9, -32.618
-24.8, -32.645
-24.7, -32.682
-24.6, -32.727
-24.5, -99.924
-24.4, -32.843
-24.3, 34.231
-24.2, 34.155
-24.1, 34.074
-24.0, 101.13
-23.9, 101.039
-23.8, 168.088
-23.7, 167.992
-23.6, 100.752
-23.5, 33.511
-23.4, 33.413
-23.3, -33.825
-23.2, -33.919
-23.1, -101.151
-23.0, -168.379
-22.9, -101.317
-22.8, -34.248
-22.7, 32.827
-22.6, 32.767
-22.5, -34.427
-22.4, -34.471
-22.3, -34.505
-22.2, -34.53
-22.1, -101.689
-22.0, -168.837
-21.9, -101.69
-21.8, -101.677
-21.7, -101.653
-21.6, -101.62
-21.5, -168.721
-21.4, -168.671
-21.3, -101.47
-21.2, -101.403
-21.1, -34.188
-21.0, 33.034
-20.9, 33.119
-20.8, 33.208
-20.7, 33.301
-20.6, 33.396
-20.5, 33.493
-20.4, 33.591
-20.3, -33.454
-20.2, 33.786
-20.1, 33.88
-20.0, 33.971
-19.9, -33.084
-19.8, -33.002
-19.7, -100.068
-19.6, -32.855
-19.5, -99.934
-19.4, -99.879
-19.3, -99.832
-19.2, -32.651
-19.1, -99.765
-19.0, -99.745
-18.9, -166.878
-18.8, -99.735
-18.7, -32.602
-18.6, -32.621
-18.5, -99.793
-18.4, -32.689
-18.3, 34.407
-18.2, 34.352
-18.1, 34.289
-18.0, 34.219
-17.9, 101.285
-17.8, 101.202
-17.7, 33.972
-17.6, -33.262
-17.5, 33.786
-17.4, 33.69
-17.3, 33.592
-17.2, -33.649
-17.1, -33.746
-17.0, 33.302
-16.9, 33.209
-16.8, -34.023
-16.7, -34.108
-16.6, -34.187
-16.5, 32.883
-16.4, 99.96
-16.3, 99.901
-16.2, 166.993
-16.1, 234.094
-16.0, 166.918
-15.9, 99.752
-15.8, 99.738
-15.7, 32.591
-15.6, 32.597
-15.5, -34.53
-15.4, -34.505
-15.3, -34.471
-15.2, 32.715
-15.1, -34.376
-15.0, 32.827
-14.9, -34.249
-14.8, -34.175
-14.7, -34.094
-14.6, -34.009
-14.5, -101.062
-14.4, -100.969
-14.3, -168.016
-14.2, -100.776
-14.1, -100.678
-14.0, -167.723
-13.9, -100.484
-13.8, -33.247
-13.7, 33.986
-13.6, 34.073
-13.5, -32.988
-13.4, 34.23
-13.3, 101.442
-13.2, 34.361
-13.1, -32.728
-13.0, -99.825
-12.9, -99.788
-12.8, -99.761
-12.7, -99.743
-12.6, -166.878
-12.5, -166.879
-12.4, -99.748
-12.3, -32.626
-12.2, -32.656
-12.1, 34.447
-12.0, 34.399
-11.9, 101.485
-11.8, 101.42
-11.7, 34.206
-11.6, 34.128
-11.5, 34.045
-11.4, 33.957
-11.3, -33.278
-11.2, -100.515
-11.1, -100.612
-11.0, -33.567
-10.9, -33.665
-10.8, 33.381
-10.7, 33.286
-10.6, 100.337
-10.5, 167.391
-10.4, 234.45
-10.3, 234.372
-10.2, 167.157
-10.1, 99.949
-10.0, 32.749
-9.9, -34.443
-9.8, -101.626
-9.7, -168.8
-9.6, -168.822
-9.5, -168.834
