BucketIndex,ItemCount
0,85
1,82
2,75
3,78
4,87
5,84
6,66
7,79
8,89
9,78
10,75
11,81
12,74
13,70
14,88
15,77
16,69
17,65
18,62
19,63
20,82
21,66
22,86
23,60
24,95
25,81
26,84
27,85
28,80
29,88
30,104
31,99
32,88
33,91
34,90
35,74
36,86
37,84
38,60
39,85
40,97
41,81
42,67
43,70
44,74
45,79
46,75
47,92
48,58
49,56
50,67
51,79
52,79
53,73
54,61
55,60
56,122
57,87
58,86
59,87
60,96
61,98
62,93
63,125
64,71
65,62
66,100
67,72
68,83
69,75
70,89
71,81
72,54
73,66
74,70
75,75
76,56
77,88
78,74
79,69
80,63
81,75
82,85
83,58
84,64
85,62
86,59
87,41
88,84
89,82
90,105
91,73
92,83
93,100
94,118
95,84
96,69
97,87
98,76
99,84
100,93
101,90
102,90
103,78
104,66
105,77
106,76
107,71
108,71
109,70
110,84
111,63
112,64
113,62
114,51
115,54
116,63
117,60
118,73
119,61
120,93
121,88
122,86
123,72
124,83
125,93
126,90
127,84
