DataSize,MapSize,Collisions,LoadFactor
1000,16,981,62.3125
1000,32,965,31.1563
1000,64,933,15.5781
1000,128,869,7.7891
1000,256,749,3.8945
1000,512,561,1.9473
1000,1024,371,0.9736
5000,16,4849,304.0625
5000,32,4833,152.0313
5000,64,4801,76.0156
5000,128,4737,38.0078
5000,256,4609,19.0039
5000,512,4354,9.5020
5000,1024,3846,4.7510
10000,16,9496,594.5000
10000,32,9480,297.2500
10000,64,9448,148.6250
10000,128,9384,74.3125
10000,256,9256,37.1563
10000,512,9000,18.5781
10000,1024,8488,9.2891
20000,16,18138,1134.6250
20000,32,18122,567.3125
20000,64,18090,283.6563
20000,128,18026,141.8281
20000,256,17898,70.9141
20000,512,17642,35.4570
20000,1024,17130,17.7285
