BucketIndex,ItemCount
0,88
1,78
2,77
3,88
4,99
5,81
6,65
7,82
8,88
9,75
10,67
11,88
12,74
13,73
14,78
15,81
16,79
17,76
18,56
19,60
20,73
21,63
22,62
23,75
24,93
25,97
26,83
27,86
28,86
29,91
30,76
31,110
32,84
33,71
34,80
35,88
36,105
37,87
38,78
39,89
40,94
41,91
42,76
43,79
44,77
45,63
46,69
47,79
48,76
49,81
50,64
51,73
52,78
53,56
54,75
55,62
56,98
57,103
58,84
59,81
60,100
61,103
62,100
63,102
64,74
65,72
66,77
67,84
68,64
69,71
70,65
71,69
72,70
73,85
74,85
75,61
76,80
77,62
78,73
79,66
80,64
81,66
82,68
83,60
84,59
85,57
86,54
87,58
88,90
89,92
90,90
91,86
92,70
93,93
94,84
95,92
96,79
97,77
98,82
99,83
100,78
101,71
102,74
103,77
104,62
105,71
106,80
107,93
108,68
109,62
110,69
111,73
112,55
113,66
114,59
115,66
116,60
117,84
118,60
119,61
120,76
121,96
122,111
123,91
124,86
125,89
126,115
127,91
