DataSize,MapSize,Collisions,LoadFactor
1000,16,978,62.1250
1000,32,962,31.0625
1000,64,930,15.5313
1000,128,866,7.7656
1000,256,742,3.8828
1000,512,557,1.9414
1000,1024,361,0.9707
5000,16,4859,304.6875
5000,32,4843,152.3438
5000,64,4811,76.1719
5000,128,4747,38.0859
5000,256,4619,19.0430
5000,512,4363,9.5215
5000,1024,3861,4.7607
10000,16,9503,594.9375
10000,32,9487,297.4688
10000,64,9455,148.7344
10000,128,9391,74.3672
10000,256,9263,37.1836
10000,512,9007,18.5918
10000,1024,8495,9.2959
20000,16,18096,1132.0000
20000,32,18080,566.0000
20000,64,18048,283.0000
20000,128,17984,141.5000
20000,256,17856,70.7500
20000,512,17600,35.3750
20000,1024,17088,17.6875
