BucketIndex,ItemCount
0,77
1,80
2,94
3,84
4,85
5,83
6,79
7,76
8,66
9,87
10,81
11,94
12,71
13,76
14,89
15,76
16,74
17,60
18,61
19,57
20,83
21,75
22,63
23,65
24,102
25,85
26,84
27,80
28,95
29,75
30,103
31,121
32,75
33,87
34,75
35,93
36,91
37,73
38,71
39,86
40,87
41,80
42,73
43,89
44,68
45,86
46,81
47,80
48,72
49,67
50,69
51,61
52,74
53,74
54,73
55,64
56,86
57,88
58,71
59,93
60,104
61,96
62,91
63,97
64,76
65,74
66,58
67,75
68,81
69,74
70,93
71,72
72,74
73,68
74,71
75,58
76,67
77,68
78,77
79,71
80,64
81,56
82,68
83,61
84,60
85,60
86,52
87,54
88,87
89,95
90,96
91,84
92,89
93,102
94,115
95,117
96,69
97,64
98,69
99,80
100,83
101,88
102,84
103,90
104,88
105,81
106,73
107,83
108,68
109,74
110,53
111,58
112,65
113,42
114,75
115,67
116,63
117,60
118,62
119,62
120,85
121,96
122,91
123,89
124,76
125,99
126,95
127,95
