DataSize,MapSize,Collisions,LoadFactor
1000,16,980,62.2500
1000,32,964,31.1250
1000,64,932,15.5625
1000,128,868,7.7813
1000,256,748,3.8906
1000,512,553,1.9453
1000,1024,354,0.9727
5000,16,4868,305.2500
5000,32,4852,152.6250
5000,64,4820,76.3125
5000,128,4756,38.1563
5000,256,4628,19.0781
5000,512,4372,9.5391
5000,1024,3868,4.7695
10000,16,9507,595.1875
10000,32,9491,297.5938
10000,64,9459,148.7969
10000,128,9395,74.3984
10000,256,9267,37.1992
10000,512,9011,18.5996
10000,1024,8499,9.2998
20000,16,18160,1136.0000
20000,32,18144,568.0000
20000,64,18112,284.0000
20000,128,18048,142.0000
20000,256,17920,71.0000
20000,512,17664,35.5000
20000,1024,17152,17.7500
