DataSize,MapSize,Collisions,LoadFactor
1000,16,984,62.5000
1000,32,968,31.2500
1000,64,936,15.6250
1000,128,872,7.8125
1000,256,750,3.9063
1000,512,598,1.9531
1000,1024,441,0.9766
5000,16,4984,312.5000
5000,32,4968,156.2500
5000,64,4936,78.1250
5000,128,4872,39.0625
5000,256,4744,19.5313
5000,512,4498,9.7656
5000,1024,4163,4.8828
10000,16,9984,625.0000
10000,32,9968,312.5000
10000,64,9936,156.2500
10000,128,9872,78.1250
10000,256,9744,39.0625
10000,512,9494,19.5313
10000,1024,9148,9.7656
20000,16,19984,1250.0000
20000,32,19968,625.0000
20000,64,19936,312.5000
20000,128,19872,156.2500
20000,256,19744,78.1250
20000,512,19493,39.0625
20000,1024,19139,19.5313
