Operations,Size,Capacity,LoadFactor
0,1,16,0.0625
1,2,16,0.1250
2,3,16,0.1875
3,4,16,0.2500
4,5,16,0.3125
5,6,16,0.3750
6,7,16,0.4375
7,8,16,0.5000
8,9,16,0.5625
9,10,16,0.6250
10,11,16,0.6875
11,12,16,0.7500
12,13,32,0.4063
13,14,32,0.4375
14,15,32,0.4688
15,16,32,0.5000
16,17,32,0.5313
17,18,32,0.5625
18,19,32,0.5938
19,20,32,0.6250
20,21,32,0.6563
21,22,32,0.6875
22,23,32,0.7188
23,24,32,0.7500
24,25,64,0.3906
25,26,64,0.4063
26,27,64,0.4219
27,28,64,0.4375
28,29,64,0.4531
29,30,64,0.4688
30,31,64,0.4844
31,32,64,0.5000
32,33,64,0.5156
33,34,64,0.5313
34,35,64,0.5469
35,36,64,0.5625
36,37,64,0.5781
37,38,64,0.5938
38,39,64,0.6094
39,40,64,0.6250
40,41,64,0.6406
41,42,64,0.6563
42,43,64,0.6719
43,44,64,0.6875
44,45,64,0.7031
45,46,64,0.7188
46,47,64,0.7344
47,48,64,0.7500
48,49,128,0.3828
49,50,128,0.3906
50,51,128,0.3984
51,52,128,0.4063
52,53,128,0.4141
53,54,128,0.4219
54,55,128,0.4297
55,56,128,0.4375
56,57,128,0.4453
57,58,128,0.4531
58,59,128,0.4609
59,60,128,0.4688
60,61,128,0.4766
61,62,128,0.4844
62,63,128,0.4922
63,64,128,0.5000
64,65,128,0.5078
65,66,128,0.5156
66,67,128,0.5234
67,68,128,0.5313
68,69,128,0.5391
69,70,128,0.5469
70,71,128,0.5547
71,72,128,0.5625
72,73,128,0.5703
73,74,128,0.5781
74,75,128,0.5859
75,76,128,0.5938
76,77,128,0.6016
77,78,128,0.6094
78,79,128,0.6172
79,80,128,0.6250
80,81,128,0.6328
81,82,128,0.6406
82,83,128,0.6484
83,84,128,0.6563
84,85,128,0.6641
85,86,128,0.6719
86,87,128,0.6797
87,88,128,0.6875
88,89,128,0.6953
89,90,128,0.7031
90,91,128,0.7109
91,92,128,0.7188
92,93,128,0.7266
93,94,128,0.7344
94,95,128,0.7422
95,96,128,0.7500
96,97,256,0.3789
97,98,256,0.3828
98,99,256,0.3867
99,100,256,0.3906
100,101,256,0.3945
101,102,256,0.3984
102,103,256,0.4023
103,104,256,0.4063
104,105,256,0.4102
105,106,256,0.4141
106,107,256,0.4180
107,108,256,0.4219
108,109,256,0.4258
109,110,256,0.4297
110,111,256,0.4336
111,112,256,0.4375
112,113,256,0.4414
113,114,256,0.4453
114,115,256,0.4492
115,116,256,0.4531
116,117,256,0.4570
117,118,256,0.4609
118,119,256,0.4648
119,120,256,0.4688
120,121,256,0.4727
121,122,256,0.4766
122,123,256,0.4805
123,124,256,0.4844
124,125,256,0.4883
125,126,256,0.4922
126,127,256,0.4961
127,128,256,0.5000
128,129,256,0.5039
129,130,256,0.5078
130,131,256,0.5117
131,132,256,0.5156
132,133,256,0.5195
133,134,256,0.5234
134,135,256,0.5273
135,136,256,0.5313
136,137,256,0.5352
137,138,256,0.5391
138,139,256,0.5430
139,140,256,0.5469
140,141,256,0.5508
141,142,256,0.5547
142,143,256,0.5586
143,144,256,0.5625
144,145,256,0.5664
145,146,256,0.5703
146,147,256,0.5742
147,148,256,0.5781
148,149,256,0.5820
149,150,256,0.5859
150,151,256,0.5898
151,152,256,0.5938
152,153,256,0.5977
153,154,256,0.6016
154,155,256,0.6055
155,156,256,0.6094
156,157,256,0.6133
157,158,256,0.6172
158,159,256,0.6211
159,160,256,0.6250
160,161,256,0.6289
161,162,256,0.6328
162,163,256,0.6367
163,164,256,0.6406
164,165,256,0.6445
165,166,256,0.6484
166,167,256,0.6523
167,168,256,0.6563
168,169,256,0.6602
169,170,256,0.6641
170,171,256,0.6680
171,172,256,0.6719
172,173,256,0.6758
173,174,256,0.6797
174,175,256,0.6836
175,176,256,0.6875
176,177,256,0.6914
177,178,256,0.6953
178,179,256,0.6992
179,180,256,0.7031
180,181,256,0.7070
181,182,256,0.7109
182,183,256,0.7148
183,184,256,0.7188
184,185,256,0.7227
185,186,256,0.7266
186,187,256,0.7305
187,188,256,0.7344
188,189,256,0.7383
189,190,256,0.7422
190,191,256,0.7461
191,192,256,0.7500
192,193,512,0.3770
193,194,512,0.3789
194,195,512,0.3809
195,196,512,0.3828
196,197,512,0.3848
197,198,512,0.3867
198,199,512,0.3887
199,200,512,0.3906
200,201,512,0.3926
201,202,512,0.3945
202,203,512,0.3965
203,204,512,0.3984
204,205,512,0.4004
205,206,512,0.4023
206,207,512,0.4043
207,208,512,0.4063
208,209,512,0.4082
209,210,512,0.4102
210,211,512,0.4121
211,212,512,0.4141
212,213,512,0.4160
213,214,512,0.4180
214,215,512,0.4199
215,216,512,0.4219
216,217,512,0.4238
217,218,512,0.4258
218,219,512,0.4277
219,220,512,0.4297
220,221,512,0.4316
221,222,512,0.4336
222,223,512,0.4355
223,224,512,0.4375
224,225,512,0.4395
225,226,512,0.4414
226,227,512,0.4434
227,228,512,0.4453
228,229,512,0.4473
229,230,512,0.4492
