x,original_y,salted_y,smoothed_y
0.000000,106721200.000000,122118623.241924,103087807.462227
1.000000,80151380.000000,125390371.324641,85991566.469717
2.000000,49678430.000000,20967884.372592,62789779.127909
3.000000,57668360.000000,17313976.115172,53865526.059091
4.000000,55548830.000000,94651578.558422,51439097.118759
5.000000,32426420.000000,71594339.484404,44388538.781354
6.000000,25141490.000000,-17339738.678985,30697803.467039
7.000000,23495990.000000,12581252.104195,25987971.729481
8.000000,38190550.000000,67289428.456538,32295722.756030
9.000000,20028450.000000,19759714.173988,33889391.441477
10.000000,23686890.000000,29820744.055095,39949991.556426
11.000000,28432570.000000,54223222.038856,34875093.027940
12.000000,23580780.000000,48282770.988106,31198787.874929
13.000000,27337220.000000,-14167227.258983,22177471.339849
14.000000,29421010.000000,16041241.318157,19469006.845258
15.000000,26356390.000000,62512834.043512,26718054.221595
16.000000,29706720.000000,-12674985.678247,22780094.765965
17.000000,34154130.000000,37357055.598683,37482306.429738
18.000000,43496400.000000,53113574.153254,37437855.452426
19.000000,49897100.000000,59399369.762972,48883001.292245
20.000000,31685810.000000,15170288.825913,46376033.523305
21.000000,54149930.000000,71462563.744724,54655410.851825
22.000000,40558490.000000,73486415.135271,46448659.771088
23.000000,40485010.000000,31854650.787274,39474034.104044
24.000000,36634380.000000,-10237359.863921,27124088.728144
25.000000,26117990.000000,49502087.729574,27617751.397699
26.000000,25458120.000000,46284529.246848,33871476.978670
27.000000,27710810.000000,-10531398.128918,35188260.650769
28.000000,34454120.000000,82891724.414920,46984440.687355
29.000000,27207250.000000,66463071.677258,40298210.603759
30.000000,30480880.000000,888207.001459,39062300.699642
31.000000,40653460.000000,15317302.134553,38914049.237440
32.000000,30521720.000000,94634701.117816,49904381.490313
33.000000,35217270.000000,51973646.937103,48038056.340730
34.000000,42621540.000000,20559078.976183,43157949.120534
35.000000,33090950.000000,44195988.385346,33573205.120649
36.000000,27877660.000000,40146782.572819,28196723.610762
37.000000,29644640.000000,-5167364.966500,25033091.766536
38.000000,36633880.000000,26612787.946584,28102947.368702
