x,original_y,salted_y,smoothed_y
1.000000,88.600000,91.624321,83.858880
2.000000,78.690000,86.500958,77.494933
3.000000,67.930000,59.068111,68.397143
4.000000,59.590000,58.680791,60.761532
5.000000,53.240000,59.345979,54.184871
6.000000,46.190000,44.905817,47.291455
7.000000,39.490000,41.651958,40.636562
8.000000,34.690000,33.763110,34.890017
9.000000,29.470000,22.667185,30.214119
10.000000,26.190000,35.325683,28.525961
11.000000,22.140000,27.712866,25.715916
12.000000,19.930000,13.710047,20.958431
13.000000,16.900000,26.541024,18.245543
14.000000,13.310000,9.749056,13.326070
15.000000,11.890000,3.696527,10.062716
16.000000,9.980000,17.878910,9.951782
17.000000,8.620000,0.856978,6.774850
18.000000,6.930000,9.208669,7.487906
19.000000,5.790000,7.753547,5.815993
20.000000,5.200000,0.985992,5.663351
21.000000,4.080000,7.419517,5.361882
22.000000,3.390000,9.710044,5.605930
23.000000,2.640000,-2.616240,3.133823
24.000000,2.250000,7.659275,2.608712
25.000000,1.900000,-0.421619,0.821191
26.000000,1.380000,-7.153244,0.247935
27.000000,1.060000,9.189354,2.454340
28.000000,0.940000,1.899485,2.693289
29.000000,0.660000,0.640164,3.421950
30.000000,0.500000,8.712087,2.545771
31.000000,0.430000,0.171835,1.983742
32.000000,0.260000,-7.884803,0.894332
33.000000,0.220000,12.518412,3.365289
34.000000,0.150000,2.355918,2.402840
35.000000,0.180000,-1.909827,1.549264
36.000000,0.080000,4.985625,0.377772
37.000000,0.070000,-5.693046,-1.195767
38.000000,0.010000,-2.911772,-1.151756
39.000000,0.030000,5.782515,-0.260567
40.000000,0.030000,-5.708889,-0.205747
41.000000,0.000000,-0.411691,-0.116266
42.000000,0.010000,9.736033,1.623195
43.000000,0.000000,-10.957561,-0.679658
44.000000,0.020000,6.510500,1.041084
45.000000,0.000000,3.378305,-0.804110
46.000000,0.000000,-9.561198,-2.348039
47.000000,0.000000,-0.134803,-1.929004
48.000000,0.000000,-2.209038,-1.688933
49.000000,0.000000,-1.459793,-0.153464
50.000000,0.000000,5.197708,0.672536
51.000000,0.000000,-1.050286,0.913312
52.000000,0.000000,-3.610078,0.204694
53.000000,0.000000,8.975892,1.287596
54.000000,0.000000,-4.507703,-0.386253
55.000000,0.000000,-2.953999,0.337517
56.000000,0.000000,4.930753,1.128642
57.000000,0.000000,1.035583,2.301846
58.000000,0.000000,2.009746,2.070739
59.000000,0.000000,7.864250,2.445583
60.000000,0.000000,-7.045682,-1.304679
