x, cos(x)
-12.0, 0.844
-11.9, 0.786
-11.8, 0.72
-11.7, 0.648
-11.6, 0.568
-11.5, 0.483
-11.4, 0.393
-11.3, 0.3
-11.2, 0.203
-11.1, 0.104
-11.0, 0.004
-10.9, -0.095
-10.8, -0.194
-10.7, -0.291
-10.6, -0.385
-10.5, -0.476
-10.4, -0.561
-10.3, -0.641
-10.2, -0.714
-10.1, -0.781
-10.0, -0.839
-9.9, -0.889
-9.8, -0.93
-9.7, -0.962
-9.6, -0.985
-9.5, -0.997
-9.4, -1.0
-9.3, -0.992
-9.2, -0.975
-9.1, -0.948
-9.0, -0.911
-8.9, -0.865
-8.8, -0.811
-8.7, -0.749
-8.6, -0.679
-8.5, -0.602
-8.4, -0.519
-8.3, -0.431
-8.2, -0.339
-8.1, -0.244
-8.0, -0.146
-7.9, -0.046
-7.8, 0.054
-7.7, 0.153
-7.6, 0.251
-7.5, 0.347
-7.4, 0.439
-7.3, 0.526
-7.2, 0.608
-7.1, 0.685
-7.0, 0.754
-6.9, 0.816
-6.8, 0.869
-6.7, 0.914
-6.6, 0.95
-6.5, 0.977
-6.4, 0.993
-6.3, 1.0
-6.2, 0.997
-6.1, 0.983
-6.0, 0.96
-5.9, 0.927
-5.8, 0.886
-5.7, 0.835
-5.6, 0.776
-5.5, 0.709
-5.4, 0.635
-5.3, 0.554
-5.2, 0.469
-5.1, 0.378
-5.0, 0.284
-4.9, 0.187
-4.8, 0.087
-4.7, -0.012
-4.6, -0.112
-4.5, -0.211
-4.4, -0.307
-4.3, -0.401
-4.2, -0.49
-4.1, -0.575
-4.0, -0.654
-3.9, -0.726
-3.8, -0.791
-3.7, -0.848
-3.6, -0.897
-3.5, -0.936
-3.4, -0.967
-3.3, -0.987
-3.2, -0.998
-3.1, -0.999
-3.0, -0.99
-2.9, -0.971
-2.8, -0.942
-2.7, -0.904
-2.6, -0.857
-2.5, -0.801
-2.4, -0.737
-2.3, -0.666
-2.2, -0.589
-2.1, -0.505
-2.0, -0.416
-1.9, -0.323
-1.8, -0.227
-1.7, -0.129
-1.6, -0.029
-1.5, 0.071
-1.4, 0.17
-1.3, 0.267
-1.2, 0.362
-1.1, 0.454
-1.0, 0.54
-0.9, 0.622
-0.8, 0.697
-0.7, 0.765
-0.6, 0.825
-0.5, 0.878
-0.4, 0.921
-0.3, 0.955
-0.2, 0.98
-0.1, 0.995
-0.0, 1.0
0.1, 0.995
0.2, 0.98
0.3, 0.955
0.4, 0.921
0.5, 0.878
0.6, 0.825
0.7, 0.765
0.8, 0.697
0.9, 0.622
1.0, 0.54
1.1, 0.454
1.2, 0.362
1.3, 0.267
