x, cos(x)
-12.0, 235.844
-11.9, -234.214
-11.8, -234.28
-11.7, -234.352
-11.6, -234.432
-11.5, 235.483
-11.4, 235.393
-11.3, 235.3
-11.2, -234.797
-11.1, -234.896
-11.0, 235.004
-10.9, 234.905
-10.8, 234.806
-10.7, 234.709
-10.6, 234.615
-10.5, 234.524
-10.4, -235.561
-10.3, 234.359
-10.2, 234.286
-10.1, -235.781
-10.0, -235.839
-9.9, -235.889
-9.8, 234.07
-9.7, 234.038
-9.6, 234.015
-9.5, 234.003
-9.4, 234.0
-9.3, -235.992
-9.2, -235.975
-9.1, -235.948
-9.0, 234.089
-8.9, 234.135
-8.8, -235.811
-8.7, 234.251
-8.6, 234.321
-8.5, -235.602
-8.4, -235.519
-8.3, -235.431
-8.2, 234.661
-8.1, -235.244
-8.0, -235.146
-7.9, -235.046
-7.8, 235.054
-7.7, -234.847
-7.6, -234.749
-7.5, -234.653
-7.4, 235.439
-7.3, -234.474
-7.2, -234.392
-7.1, 235.685
-7.0, -234.246
-6.9, -234.184
-6.8, 235.869
-6.7, -234.086
-6.6, -234.05
-6.5, -234.023
-6.4, 235.993
-6.3, 236.0
-6.2, 235.997
-6.1, -234.017
-6.0, 235.96
-5.9, -234.073
-5.8, 235.886
-5.7, -234.165
-5.6, 235.776
-5.5, 235.709
-5.4, -234.365
-5.3, 235.554
-5.2, 235.469
-5.1, -234.622
-5.0, -234.716
-4.9, -234.813
-4.8, -234.913
-4.7, 234.988
-4.6, 234.888
-4.5, 234.789
-4.4, -235.307
-4.3, -235.401
-4.2, 234.51
-4.1, 234.425
-4.0, 234.346
-3.9, 234.274
-3.8, -235.791
-3.7, -235.848
-3.6, -235.897
-3.5, -235.936
-3.4, 234.033
-3.3, -235.987
-3.2, 234.002
-3.1, -235.999
-3.0, -235.99
-2.9, 234.029
-2.8, -235.942
-2.7, -235.904
-2.6, -235.857
-2.5, 234.199
-2.4, -235.737
-2.3, -235.666
-2.2, -235.589
-2.1, 234.495
-2.0, -235.416
-1.9, -235.323
-1.8, -235.227
-1.7, 234.871
-1.6, 234.971
-1.5, -234.929
-1.4, -234.83
-1.3, -234.733
-1.2, -234.638
-1.1, -234.546
-1.0, 235.54
-0.9, 235.622
-0.8, -234.303
-0.7, -234.235
-0.6, -234.175
-0.5, -234.122
-0.4, -234.079
-0.3, -234.045
-0.2, -234.02
-0.1, 235.995
-0.0, 236.0
0.1, 235.995
0.2, 235.98
0.3, -234.045
0.4, 235.921
0.5, 235.878
0.6, -234.175
0.7, 235.765
0.8, -234.303
0.9, 235.622
1.0, 235.54
1.1, 235.454
1.2, -234.638
1.3, -234.733
1.4, 235.17
1.5, 235.071
1.6, -235.029
1.7, 234.871
1.8, -235.227
1.9, -235.323
2.0, -235.416
2.1, 234.495
2.2, -235.589
2.3, 234.334
2.4, -235.737
2.5, -235.801
2.6, 234.143
2.7, -235.904
2.8, -235.942
2.9, -235.971
3.0, -235.99
3.1, 234.001
3.2, -235.998
3.3, 234.013
3.4, 234.033
3.5, -235.936
3.6, 234.103
3.7, -235.848
3.8, 234.209
3.9, -235.726
4.0, -235.654
4.1, 234.425
4.2, -235.49
4.3, 234.599
4.4, 234.693
4.5, -235.211
4.6, 234.888
4.7, -235.012
4.8, -234.913
4.9, 235.187
5.0, -234.716
5.1, 235.378
5.2, 235.469
5.3, -234.446
5.4, -234.365
5.5, 235.709
5.6, 235.776
5.7, 235.835
5.8, 235.886
5.9, 235.927
6.0, -234.04
6.1, 235.983
6.2, -234.003
6.3, 236.0
6.4, -234.007
6.5, 235.977
6.6, 235.95
6.7, -234.086
6.8, -234.131
6.9, 235.816
7.0, -234.246
7.1, 235.685
7.2, 235.608
7.3, 235.526
7.4, -234.561
7.5, 235.347
7.6, 235.251
7.7, 235.153
7.8, -234.946
7.9, -235.046
8.0, -235.146
8.1, -235.244
8.2, 234.661
8.3, 234.569
8.4, -235.519
8.5, 234.398
8.6, 234.321
8.7, 234.251
8.8, -235.811
8.9, 234.135
9.0, 234.089
9.1, -235.948
9.2, -235.975
9.3, -235.992
9.4, -236.0
9.5, -235.997
9.6, -235.985
9.7, 234.038
9.8, -235.93
9.9, 234.111
10.0, 234.161
10.1, 234.219
10.2, -235.714
10.3, -235.641
10.4, 234.439
10.5, -235.476
10.6, 234.615
10.7, 234.709
10.8, 234.806
10.9, -235.095
11.0, 235.004
11.1, -234.896
11.2, 235.203
11.3, 235.3
11.4, 235.393
11.5, 235.483
11.6, -234.432
11.7, 235.648
11.8, -234.28
11.9, -234.214
12.0, 235.844
12.1, -234.107
12.2, -234.066
12.3, -234.035
12.4, -234.014
12.5, -234.002
12.6, -234.001
12.7, 235.991
12.8, 235.973
12.9, -234.055
13.0, 235.907
13.1, 235.861
13.2, 235.806
13.3, 235.743
13.4, 235.672
13.5, 235.595
13.6, -234.488
13.7, 235.423
13.8, 235.331
13.9, 235.235
14.0, 235.137
14.1, 235.037
14.2, 234.937
14.3, -235.162
14.4, -235.26
14.5, -235.355
14.6, -235.446
14.7, 234.466
14.8, 234.385
14.9, 234.309
15.0, 234.24
15.1, -235.821
15.2, 234.126
15.3, -235.918
15.4, -235.953
15.5, 234.022
15.6, -235.994
15.7, 234.0
15.8, -235.996
15.9, -235.982
16.0, -235.958
16.1, 234.076
16.2, -235.881
16.3, 234.17
16.4, 234.23
16.5, 234.298
16.6, -235.628
16.7, -235.547
16.8, -235.461
16.9, 234.63
17.0, -235.275
17.1, -235.178
17.2, 234.921
17.3, 235.021
17.4, -234.879
17.5, -234.781
17.6, -234.684
17.7, 235.409
17.8, -234.502
17.9, -234.418
18.0, -234.34
18.1, -234.268
18.2, 235.796
18.3, -234.147
18.4, -234.099
18.5, 235.94
18.6, -234.031
18.7, 235.989
18.8, 235.999
18.9, -234.001
19.0, -234.011
19.1, -234.031
19.2, -234.061
19.3, 235.9
19.4, -234.148
19.5, 235.796
19.6, -234.269
19.7, 235.66
19.8, -234.419
19.9, -234.503
20.0, 235.408
20.1, -234.685
20.2, -234.781
20.3, -234.88
20.4, -234.98
20.5, 234.92
20.6, -235.179
20.7, -235.276
20.8, -235.371
20.9, -235.461
21.0, -235.548
21.1, -235.629
21.2, -235.703
21.3, -235.771
21.4, 234.17
21.5, 234.118
21.6, 234.076
21.7, 234.042
21.8, 234.018
21.9, 234.004
22.0, 234.0
22.1, -235.994
22.2, 234.022
22.3, 234.047
22.4, 234.082
22.5, 234.127
22.6, -235.82
22.7, 234.241
22.8, 234.31
22.9, 234.385
23.0, 234.467
23.1, -235.446
23.2, -235.354
23.3, 234.741
23.4, 234.839
23.5, -235.062
23.6, -234.962
23.7, 235.138
23.8, -234.764
23.9, 235.332
24.0, 235.424
24.1, 235.512
24.2, 235.596
24.3, -234.327
24.4, -234.257
24.5, -234.194
24.6, -234.139
24.7, 235.908
24.8, -234.055
24.9, -234.027
25.0, 235.991
25.1, -234.001
25.2, -234.002
25.3, 235.986
25.4, 235.964
25.5, 235.933
25.6, -234.107
25.7, -234.157
25.8, -234.214
25.9, -234.28
26.0, -234.353
26.1, 235.568
26.2, 235.483
26.3, -234.607
26.4, 235.299
26.5, 235.202
26.6, 235.103
26.7, -234.996
26.8, 234.904
26.9, -235.195
27.0, -235.292
27.1, -235.386
27.2, 234.524
27.3, 234.438
27.4, 234.358
27.5, -235.715
27.6, -235.781
27.7, 234.16
27.8, -235.89
27.9, -235.931
28.0, 234.037
28.1, 234.015
28.2, -235.997
28.3, 234.0
28.4, -235.992
28.5, -235.975
28.6, 234.053
28.7, -235.911
28.8, -235.865
28.9, 234.189
29.0, 234.252
29.1, -235.678
29.2, 234.399
29.3, -235.519
29.4, -235.431
29.5, 234.662
29.6, 234.757
29.7, 234.855
29.8, 234.955
29.9, -234.945
30.0, 235.154
30.1, 235.252
30.2, -234.653
30.3, -234.561
30.4, -234.473
30.5, 235.609
30.6, 235.685
30.7, 235.754
30.8, -234.184
30.9, -234.13
31.0, 235.915
31.1, -234.049
31.2, 235.977
31.3, -234.007
31.4, -234.0
31.5, -234.004
31.6, -234.017
31.7, -234.04
31.8, 235.927
31.9, -234.115
32.0, -234.166
32.1, 235.775
32.2, -234.292
32.3, 235.634
32.4, 235.554
32.5, -234.532
32.6, -234.623
32.7, 235.283
32.8, -234.814
32.9, -234.913
33.0, 234.987
33.1, -235.113
33.2, 234.788
33.3, 234.692
33.4, -235.402
33.5, 234.509
33.6, 234.424
33.7, -235.654
33.8, -235.727
33.9, -235.792
34.0, 234.151
34.1, -235.897
34.2, 234.063
34.3, -235.967
34.4, -235.988
34.5, -235.998
34.6, 234.001
34.7, -235.99
34.8, 234.029
34.9, 234.058
35.0, 234.096
35.1, 234.144
35.2, 234.199
35.3, 234.263
35.4, 234.334
35.5, -235.588
35.6, -235.504
35.7, 234.585
35.8, -235.322
35.9, -235.226
36.0, 234.872
36.1, -235.028
36.2, 235.072
36.3, 235.171
36.4, -234.732
36.5, -234.637
36.6, -234.546
36.7, 235.541
36.8, 235.622
36.9, 235.697
37.0, -234.235
37.1, -234.174
37.2, 235.878
37.3, -234.079
37.4, 235.956
37.5, -234.02
37.6, 235.995
37.7, 236.0
37.8, 235.995
37.9, -234.02
38.0, -234.045
38.1, -234.079
38.2, -234.123
38.3, -234.175
38.4, -234.236
38.5, -234.304
38.6, 235.621
38.7, -234.46
38.8, -234.547
38.9, 235.362
39.0, 235.267
39.1, -234.831
39.2, -234.93
39.3, 234.97
39.4, 234.87
39.5, -235.228
39.6, -235.324
39.7, -235.417
39.8, 234.494
39.9, 234.411
40.0, -235.667
40.1, -235.738
40.2, -235.802
40.3, -235.857
40.4, -235.904
40.5, 234.057
40.6, -235.971
40.7, 234.01
40.8, -235.999
40.9, -235.998
41.0, 234.013
41.1, -235.967
41.2, -235.936
41.3, 234.104
41.4, 234.152
41.5, 234.21
41.6, -235.725
41.7, -235.653
41.8, -235.574
41.9, -235.489
42.0, 234.6
42.1, 234.694
42.2, -235.21
42.3, 234.889
42.4, 234.988
42.5, -234.912
42.6, 235.187
42.7, 235.285
42.8, -234.621
42.9, -234.531
43.0, -234.445
43.1, 235.635
43.2, -234.291
43.3, -234.224
43.4, -234.165
43.5, 235.886
43.6, 235.928
43.7, 235.96
43.8, 235.983
43.9, 235.997
44.0, 236.0
44.1, 235.993
44.2, -234.024
44.3, 235.95
44.4, -234.086
44.5, 235.869
44.6, 235.815
44.7, -234.247
44.8, -234.316
44.9, -234.392
45.0, -234.475
45.1, 235.438
45.2, 235.346
45.3, 235.25
45.4, -234.848
45.5, 235.053
45.6, 234.953
45.7, -235.146
45.8, 234.756
45.9, 234.66
46.0, -235.432
46.1, 234.48
46.2, -235.603
46.3, 234.321
46.4, 234.251
46.5, 234.188
46.6, -235.866
46.7, 234.089
46.8, -235.948
46.9, 234.025
47.0, -235.992
47.1, -236.0
47.2, -235.997
47.3, 234.015
47.4, 234.038
47.5, -235.93
47.6, 234.111
47.7, 234.161
47.8, 234.22
47.9, 234.286
48.0, 234.36
48.1, 234.44
48.2, 234.525
48.3, 234.615
48.4, 234.71
48.5, 234.807
48.6, 234.905
48.7, 235.005
48.8, 235.105
48.9, 235.204
49.0, 235.301
49.1, -234.606
49.2, 235.484
49.3, 235.569
49.4, -234.352
49.5, 235.721
49.6, 235.787
49.7, 235.844
49.8, 235.894
49.9, -234.066
50.0, 235.965
50.1, 235.986
50.2, -234.002
50.3, -234.001
50.4, 235.991
50.5, 235.973
50.6, -234.055
50.7, 235.907
50.8, -234.139
50.9, -234.195
51.0, -234.258
51.1, -234.328
51.2, 235.594
51.3, 235.511
51.4, 235.423
51.5, -234.67
51.6, 235.234
51.7, -234.864
51.8, 235.036
51.9, 234.936
52.0, 234.837
52.1, 234.739
52.2, -235.356
52.3, 234.553
52.4, -235.534
52.5, 234.384
52.6, 234.308
52.7, 234.24
52.8, 234.179
52.9, 234.126
53.0, -235.918
53.1, 234.047
53.2, 234.021
53.3, -235.994
53.4, 234.0
53.5, 234.004
53.6, 234.019
53.7, 234.043
53.8, 234.076
53.9, -235.881
54.0, 234.171
54.1, 234.231
54.2, -235.702
54.3, -235.627
54.4, 234.454
54.5, -235.46
54.6, -235.369
54.7, 234.726
54.8, -235.177
54.9, 234.922
55.0, -234.978
55.1, 235.122
55.2, 235.22
55.3, -234.683
55.4, 235.41
55.5, -234.501
55.6, -234.417
55.7, 235.661
55.8, 235.733
55.9, 235.797
56.0, 235.853
56.1, 235.901
56.2, -234.06
56.3, -234.031
56.4, -234.011
56.5, 235.999
56.6, 235.999
56.7, 235.989
56.8, -234.031
56.9, 235.939
57.0, -234.1
57.1, -234.148
57.2, -234.205
57.3, 235.731
57.4, -234.341
57.5, -234.419
57.6, -234.504
57.7, -234.593
57.8, -234.686
57.9, -234.782
58.0, -234.881
58.1, -234.981
58.2, -235.08
58.3, 234.82
58.4, -235.277
58.5, -235.371
58.6, -235.462
58.7, -235.548
58.8, 234.371
58.9, -235.704
59.0, 234.229
59.1, 234.169
59.2, 234.118
59.3, 234.075
59.4, -235.958
59.5, 234.018
59.6, -235.996
59.7, 234.0
59.8, 234.006
59.9, -235.978
60.0, -235.952
60.1, -235.917
60.2, 234.127
60.3, -235.82
60.4, 234.241
60.5, 234.31
60.6, -235.614
60.7, 234.468
60.8, 234.555
60.9, -235.353
61.0, 234.742
61.1, 234.84
61.2, 234.939
61.3, 235.039
61.4, 235.138
61.5, -234.763
61.6, -234.668
61.7, -234.575
61.8, 235.513
61.9, -234.404
62.0, -234.326
62.1, -234.256
62.2, -234.193
62.3, 235.862
62.4, 235.908
62.5, -234.055
62.6, 235.973
62.7, -234.009
62.8, 235.999
62.9, -234.002
63.0, 235.986
63.1, -234.036
63.2, 235.933
63.3, 235.892
63.4, 235.843
63.5, -234.215
63.6, 235.719
63.7, -234.354
63.8, 235.567
63.9, 235.482
64.0, -234.608
64.1, 235.298
64.2, 235.201
64.3, 235.102
64.4, -234.997
